Year,Make,Model,Style,Date Modified,Hitch Country of Origin,Hitch Code,Install Ins. PDF,Short Hitch,Hitch Type,24K Fifth Wheel,20K Fifth Wheel,16K Fifth Wheel,24K Fifth Wheel w/ Universal Base Rails,20K Fifth Wheel w/ Universal Base Rails,16K Fifth Wheel w/ Universal Base Rails,24K Fifth Wheel w/ Roller Head  ,20K Fifth Wheel w/ Roller Head  ,16K Fifth Wheel w/ Roller Head  ,24K Fifth Wheel w/ Roller,20K Fifth Wheel w/ Roller,16K Fifth Wheel w/ Roller,24K Fifth Wheel w/ Roller & Base Rails,20K Fifth Wheel w/ Roller & Base Rails,16K Fifth Wheel w/ Roller & Base Rails,Universal Base Rails w/ hardware.  Gloss Black,Universal Base Rails w/ hardware.  Carbide Black,Universal Base rails only.  Gloss Black,Universal Base rails only.  Carbide Black,Price Code, Vehicle Capacity,WC/TW Capacity,WD/TW Capacity,Weight Carrying,WC Tongue Weight,Weight Distribution,WD Tongue Weight,Exposed/ Concealed,Drilling Required ,Note 1,Note 2,Note 3,Note 4,Merged Notes,Install Time,Hitch UPC,Hitch List Price,MAP Price,Jobber Price,Shipping Weight,Box Length,Box Height,Box Width,General Product Description,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Connector Country of Origin,Connector Code,Connector UPC,Connector List Price,Connector MAP Price,Connector Jobber Price,Connector Install Time,Connector Shipping Weight,Connector Notes,Accessory UPC List #2
1999,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
1999,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2000,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2000,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2001,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2001,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2002,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2002,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2003,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2003,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2004,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2004,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2005,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2005,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2006,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2006,Chevrolet,Silverado 1500,All,9/24/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2007,Chevrolet,Silverado 1500,Classic Body,10/11/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2007,Chevrolet,Silverado 1500,Classic Body,10/11/2012,US,16418,16418,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,Yes,Drilling required,,,,,90,612314164189,265.88,159.53,172.82,56.65,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2007,Chevrolet,Silverado 1500,New Body,10/11/2012,US,16412,16412,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,No,No drilling required,,,,,60,612314164127,309.05,185.43,200.88,29.70,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56070,612314560707,123.17,73.90,80.06,45,1.00,7ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
2007,Chevrolet,Silverado 1500,New Body,10/11/2012,US,16412,16412,Custom Fifth Wheel Bracket Kit,Fifth Wheel Bracket,16245,16130,16115,16246,16131,16116,16545,16530,16515,16546,16536,16516,16646,16636,16616,16100,16200,16104,16204,,,,,,,,,,No,No drilling required,,,,,60,612314164127,309.05,185.43,200.88,29.70,50.00,3.50,12.00,,Cuts install time by up to 50%,Reduces or eliminates drilling,Provides a customer fit,To be used in combination with 16104/16204 rails with no need for universal brackets and hardware,Rail mounting hardware included,TW,56000,612314560004,137.71,82.63,89.51,45,0.96,10ft. Adaptor Harness.  Uses OEM connector assemblies that plug into existing vehicle harness.,
